title,artist,top genre,year,bpm,energy,danceability,live,valence,duration,acousticness,speechiness,popularity
jar of hearts,Christina Perri,pop,2011,75,35,35,12,9,247,73,3,69
You Make Me Feel... (feat. Sabi),Cobra Starship,neon pop punk,2011,132,86,67,4,75,216,2,5,69
Without You (feat. Usher),David Guetta,big room,2011,128,61,61,16,40,208,23,3,69
Moment 4 Life,Nicki Minaj,hip pop,2011,98,88,48,24,37,279,41,35,69
Lighters,Bad Meets Evil,detroit hip hop,2011,90,70,68,12,14,304,35,25,68
The Time (Dirty Bit),Black Eyed Peas,dance pop,2011,128,81,82,60,44,308,7,7,68
I Need A Doctor,Dr. Dre,g funk,2011,156,95,59,31,40,284,9,45,68
Tonight Tonight,Hot Chelle Rae,dance rock,2011,100,78,69,10,82,200,9,13,68
Blow,Kesha,dance pop,2011,120,73,75,7,81,220,0,4,68
The Show Goes On,Lupe Fiasco,chicago rap,2011,143,91,60,18,63,240,2,12,68
Moves Like Jagger,Maroon 5,pop,2011,128,75,72,35,60,203,1,5,68
Colder Weather,Zac Brown Band,contemporary country,2011,136,38,67,12,20,274,46,3,68
Yeah 3x,Chris Brown,r&b,2011,130,88,71,9,70,242,0,4,67
I'm On One,DJ Khaled,hip hop,2011,149,81,41,63,44,296,5,32,67
E.T.,Katy Perry,pop,2011,152,87,62,37,76,230,2,18,67
She Will,Lil Wayne,hip hop,2011,100,84,36,24,8,306,0,12,67
Sexy And I Know It,LMFAO,dance pop,2011,130,86,71,19,80,199,10,32,67
More - RedOne Jimmy Joker Remix,USHER,atl hip hop,2011,125,89,55,35,79,220,0,5,67
I Wanna Go,Britney Spears,dance pop,2011,130,55,70,33,79,210,0,4,66
Fuck You,CeeLo Green,atl hip hop,2011,127,88,69,12,75,224,19,6,66
The Edge Of Glory,Lady Gaga,art pop,2011,128,77,58,11,36,321,0,4,66
How To Love,Lil Wayne,hip hop,2011,154,66,64,11,27,240,0,4,66
F**kin' Perfect,P!nk,dance pop,2011,92,65,56,36,48,213,4,3,66
For the First Time,The Script,celtic rock,2011,174,62,40,14,40,251,3,3,66
Best Thing I Never Had,Beyoncé,pop,2011,99,67,54,9,29,253,13,3,65
Honey Bee,Blake Shelton,classic oklahoma country,2011,206,85,48,12,72,211,0,4,65
Coming Home,Diddy - Dirty Money,pop rap,2011,168,84,39,30,23,239,16,19,65
Crazy Girl,Eli Young Band,classic texas country,2011,151,65,37,27,26,201,0,3,65
Rocketeer,Far East Movement,asian american hip hop,2011,96,85,66,27,36,211,18,5,65
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,88,67,14,27,232,3,4,64
Please Don't Go,Mike Posner,dance pop,2011,120,88,70,13,66,197,0,3,64
If I Die Young,The Band Perry,contemporary country,2011,131,50,61,28,36,223,35,3,64
Till the World Ends,Britney Spears,dance pop,2011,132,71,69,20,45,238,2,7,63
Motivation,Kelly Rowland,atl hip hop,2011,141,68,74,8,26,231,18,4,63
Pretty Girl Rock,Keri Hilson,dance pop,2011,160,87,67,9,90,244,20,25,63
Are You Gonna Kiss Me Or Not,Thompson Square,contemporary country,2011,152,70,49,10,61,185,4,3,62
You and Tequila (feat. Grace Potter),Kenny Chesney,contemporary country,2011,136,45,69,8,35,243,44,3,61
Just A Kiss,Lady A,contemporary country,2011,143,64,59,10,33,219,45,3,61
Roll Up,Wiz Khalifa,hip hop,2011,125,81,52,9,60,228,5,19,61
She Ain't You,Chris Brown,r&b,2011,91,72,63,9,62,248,3,13,60
Don't Wanna Go Home,Jason Derulo,dance pop,2011,122,81,67,17,68,206,2,6,59
You And I,Lady Gaga,art pop,2011,127,70,52,9,52,307,9,5,59
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,64,18,57,220,6,7,56
Remind Me (with Carrie Underwood),Brad Paisley,contemporary country,2011,141,73,49,23,29,272,6,3,55
Hold It Against Me,Britney Spears,dance pop,2011,133,72,65,24,39,229,1,4,54
My Last,Big Sean,detroit hip hop,2011,79,77,39,21,37,254,10,17,53
In The Dark,DEV,dance pop,2011,125,82,74,33,44,226,0,7,53
Cheers (Drink To That),Rihanna,barbadian pop,2011,80,92,58,28,74,262,2,4,52
God Gave Me You,Blake Shelton,classic oklahoma country,2011,152,84,48,41,54,230,0,3,48
Stereo Love - Original,Edward Maya,romanian house,2011,127,78,78,8,36,248,3,4,47
Don't You Wanna Stay (with Kelly Clarkson),Jason Aldean,contemporary country,2011,144,63,45,9,13,256,10,3,43
Backseat (feat. The Cataracs & Dev),New Boyz,pop rap,2011,125,92,60,51,78,224,7,14,41
Feel So Close - Radio Edit,Calvin Harris,dance pop,2012,128,92,71,20,92,206,0,3,84
What Makes You Beautiful,One Direction,boy band,2012,125,79,73,6,89,200,1,7,84
We Found Love,Rihanna,barbadian pop,2012,128,77,74,11,60,215,3,4,83
Paradise,Coldplay,permanent wave,2012,140,59,45,8,21,279,5,3,82
